rowid,_dyn_#scan,_dyn_#precmz,_dyn_#ms1scan,_dyn_#rt,_dyn_#charge,_dyn_#i,_dyn_#i_norm,_dyn_#mslevel,_dyn_#i_norm_ms1,_dyn_#query_index,_dyn_#filename,_dyn_#original_path,_dyn_#new_scan,_dyn_#new_filename,id
30,9852,282.2064,0,5.876166667,1,2146400000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,30,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,0
229,43519,324.2168,0,6.05145,1,463410000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,229,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,1
2,4580,270.1698,0,4.941783333,1,429130000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,2,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,2
9,6271,214.107,0,2.804883333,1,386800000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,9,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,3
8,6124,284.2222,0,6.181016667,1,302130000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,8,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,4
187,39332,284.2222,0,6.18765,1,302130000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,187,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,5
134,33597,296.186,0,5.44925,1,302050000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,134,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,6
41,10733,326.2324,0,6.432083333,1,279010000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,41,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,7
150,35074,326.2326,0,6.392,1,279010000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,150,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,8
317,81497,326.2327,0,6.308883333,1,279010000,1,2,,0,20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,bpbowen/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive/featurems2/20211117_JGI-AK-TH_AP_507288_EColiHSLs_final_QE-139_C18_USDAY63649_REUPLOAD_positive_MSMS.mgf,317,extracted_887b3958-2ee8-4643-8f5a-0796029c8998.mzML,9
