JGI name,user ID
Batch304_p001,Rhiz_undef_11
Batch304_p002,Coll_undef_01
Batch304_p003,Acidvx_undef_01a
Batch304_p004,Acidvx_undef_01b
Batch304_p005,Pseu_undef_02
Batch304_p006,Rhodof_undef_01
Batch304_p007,Dug_undef_02
Batch304_p008,MOmeta_undef_12
Batch304_p009,endo_16
Batch304_p010,MethG_MbaI
Batch304_p011,Pseu_undef_04
Batch304_p012,Pseu_undef_05
Batch304_p013,soil_05
Batch304_p014,endo_06
Batch304_p015,Pseu_E_100
Batch304_p016,MOmeta_undef_02
Batch304_p017,MOmeta_undef_06a
Batch304_p018,MOmeta_undef_06b
Batch304_p019,MOmeta_undef_09
Batch304_p020,Pseu_undef_03
Batch304_p021,Burk_G2_94match
Batch304_p022,endo_25
Batch304_p023,Mass_undef_01
Batch304_p024,MOmeta_undef_01
Batch304_p025,MOmeta_undef_05
Batch304_p026,MOmeta_undef_10
Batch304_p027,Burk_G1_96match
Batch304_p028,Var_undef_01a
Batch304_p029,Var_undef_01b
Batch304_p030,Var_undef_02
Batch304_p031,Rhiz_undef_02a
Batch304_p032,Rhiz_undef_02b
Batch304_p033,Dug_undef_01
Batch304_p034,MOmeta_undef_11
Batch304_p035,Nitroso_B_std
Batch304_p036,Var_undef_03
Batch304_p037,Var_undef_04
Batch304_p038,Sphing_undef_05
Batch304_p039,endo_07
Batch304_p040,endo_24a
Batch304_p041,endo_24b
Batch304_p042,MOmeta_undef_07
Batch304_p043,Nitroso_A_std
Batch304_p044,Pant_undef_01
Batch304_p045,Rhodan_undef_01
Batch304_p046,Mes_D_std
Batch304_p047,soil_03_combined
Batch304_p048,Sphing_undef_06
Batch304_p049,Sphing_undef_07
Batch304_p050,Tar_undef_01
Batch304_p051,MOmeta_undef_03
Batch304_p052,Novo_undef_02
Batch304_p053,Rhiz_undef_04
Batch304_p054,rhizosph_09a
Batch304_p055,endo_14
Batch304_p056,Pro_A_std
Batch304_p057,Sphing_undef_03
Batch304_p058,Tar_undef_02
Batch304_p059,Bos_undef_02
Batch304_p060,Bos_undef_03
Batch304_p061,Bos_undefMesI
Batch304_p062,endo_20
Batch304_p063,MethA_undef_02
Batch304_p064,MethA_undef_03
Batch304_p065,MethA_undef_04
Batch304_p066,Novo_undef_03
Batch304_p067,Phyl_undef_02
Batch304_p068,Rhi_D_73match
Batch304_p069,Rhiz_undef_17
Batch304_p070,rhizosph_07
Batch304_p071,soil_07
Batch304_p072,soil_11a
Batch304_p073,soil_11b
Batch304_p074,soil_11c
Batch304_p075,Var_undef_06
Batch304_p076,MethA_undef_06a
Batch304_p077,MethA_undef_06b
Batch304_p078,Rhi_D_69match
Batch304_p079,Rhiz_undef_09
Batch304_p080,Rhiz_undef_15
Batch304_p081,Rhiz_undef_16
Batch304_p082,Rhiz_undef_18
Batch304_p083,Rhiz_undef_19
Batch304_p084,Rhiz_undef_20
Batch304_p085,Sphing_undef_02
Batch304_p086,Ast_undef_01
Batch304_p087,endo_17
Batch304_p088,endo_18
Batch304_p089,Rhiz_undef_01a
Batch304_p090,Rhiz_undef_01b
Batch304_p091,Rhiz_undef_06
Batch304_p092,Rhiz_undef_10
Batch304_p093,Rhiz_undef_12
Batch304_p094,soil_02_combined
Batch304_p095,endo_19
Batch304_p096,Rhiz_undef_08
Batch304_p097,rhizosph_03
Batch304_p098,rhizosph_06
Batch304_p099,Ens_A_std
Batch304_p100,Ens_undef_01
Batch304_p101,Jan_undef_02
Batch304_p102,Novo_undef_04
Batch304_p103,Rhi_C_92match
Batch304_p104,Rhiz_undef_03a
Batch304_p105,Rhiz_undef_03b
Batch304_p106,Rhiz_undef_03c
Batch304_p107,Rhiz_undef_03d
Batch304_p108,Sin_A_std
Batch304_p109,Sphing_undef_01a
Batch304_p110,Sphing_undef_01b
Batch304_p111,endo_03
Batch304_p112,Ent_A_99match
Batch304_p113,Ent_B_79match
Batch304_p114,Lab_undef_01
Batch304_p115,MethA_undef_05
Batch304_p116,MOmeta_undef_08
Batch304_p117,Ancy_undef_01
Batch304_p118,Bos_undef_01a
Batch304_p119,endo_09
Batch304_p120,endo_10
Batch304_p121,Ens_C_89match
Batch304_p122,Janth_undef_01
Batch304_p123,rhizosph_11
Batch304_p124,soil_12
Batch304_p125,Bos_undef_01b
Batch304_p126,Bos_undef_01c
Batch304_p127,endo_01
Batch304_p128,Ens_C_77match
Batch304_p129,MethB_undef_01
Batch304_p130,rhizosph_01
Batch304_p131,rhizosph_10a
Batch304_p132,rhizosph_10b
Batch304_p133,SphingM_undef_01
Batch304_p134,endo_21
Batch304_p135,soil_09
Batch304_p136,Sphpyx_undef_01
Batch304_p137,Lab_undef_02
Batch304_p138,endo_05
Batch304_p139,MOmeta_undef_04
Batch304_p140,Ens_C_std
Batch304_p141,Bra_A_77match
Batch304_p142,endo_22b
Batch304_p143,Hof_undef_01
Batch304_p144,Novo_undef_01
Batch304_p145,endo_12
Batch304_p146,MethA_undef_01
Batch304_p147,MOmeta_undef_14
Batch304_p148,Phyl_undef_01
Batch304_p149,endo_08
Batch304_p150,Meso_undef_01
Batch304_p151,Rhi_A_80match
Batch304_p152,endo_04
Batch304_p153,Bra_A_std
Batch304_p154,endo_15
Batch304_p155,Rhiz_undef_05
Batch304_p156,rhizosph_02
Batch304_p157,MOmeta_undef_13
Batch304_p158,soil_06
Batch304_p159,Var_undef_05
Batch304_p160,endo_13
Batch304_p161,soil_04
Batch304_p162,endo_11
Batch304_p163,Rhiz_undef_21
Batch304_p164,rhizosph_04
Batch304_p165,Rhiz_undef_13
Batch304_p166,Rhiz_undef_14
Batch304_p167,rhizosph_09b
Batch304_p168,Sphing_undef_04
Batch304_p169,soil_10b
Batch304_p170,Hyph_undef_01
Batch304_p171,Hyph_undef_02
Batch304_p172,rhizosph_08
Batch304_p173,soil_10a
Batch304_p174,endo_02
Batch304_p175,rhizosph_05
Batch304_p176,Caul_undef_01c
Batch304_p177,Caul_undef_01b
Batch304_p178,Caul_undef_01a
Batch304_p179,endo_22a
Batch304_p180,soil_01_hybrid
Batch304_p181,Pseu_undef_01
Batch304_p182,Rhi_A_63match
Batch304_p183,Rhiz_undef_07
